Triamcinolone Lotion,Spinal epidural,Migraine Diet,wear mask,Omeprazole,Inflamma-blox,colofac mr,Prednisone,Hemorrhoid Cream,Flonase,Sauna,Fruit,Low-FODMAP diet,Humira,Acetaminophen plus Codeine Number 3,Inderal,Stretching,Megaspore,Iron,Vitamin C,Medication,Triamcinolone Cream,Tolterodine
,,,,,0.0,,2.0,0.0,0.0,0.0,,,0.0,,,,,0.0,2.0,,0.0,
,,,,,,,,,,,,,,,,2.0,,,,,,
,,,0.0,0.0,,0.0,,,,,2.0,0.0,,0.0,0.0,,0.0,,,0.0,,
,,0.0,,0.0,,0.0,,,,,2.0,0.0,,0.0,0.0,,0.0,,,0.0,,
,,0.0,0.0,,,0.0,,,,,2.0,0.0,,0.0,0.0,,0.0,,,0.0,,
0.0,,,,,,,2.0,0.0,0.0,0.0,,,0.0,,,,,0.0,2.0,,0.0,
,,0.0,0.0,0.0,,,,,,,2.0,0.0,,0.0,0.0,,0.0,,,0.0,,
2.0,,,,,2.0,,,2.0,2.0,2.0,,,2.0,,,,,2.0,0.0,,2.0,
0.0,,,,,0.0,,2.0,,0.0,0.0,,,0.0,,,,,0.0,2.0,,0.0,
0.0,,,,,0.0,,2.0,0.0,,0.0,,,0.0,,,,,0.0,2.0,,0.0,
0.0,,,,,0.0,,2.0,0.0,0.0,,,,0.0,,,,,0.0,2.0,,0.0,
,,2.0,2.0,2.0,,2.0,,,,,,2.0,,2.0,2.0,,2.0,,,2.0,,
,,0.0,0.0,0.0,,0.0,,,,,2.0,,,0.0,0.0,,0.0,,,0.0,,
0.0,,,,,0.0,,2.0,0.0,0.0,0.0,,,,,,,,0.0,2.0,,0.0,
,,0.0,0.0,0.0,,0.0,,,,,2.0,0.0,,,0.0,,0.0,,,0.0,,
,,0.0,0.0,0.0,,0.0,,,,,2.0,0.0,,0.0,,,0.0,,,0.0,,
,2.0,,,,,,,,,,,,,,,,,,,,,
,,0.0,0.0,0.0,,0.0,,,,,2.0,0.0,,0.0,0.0,,,,,0.0,,
0.0,,,,,0.0,,2.0,0.0,0.0,0.0,,,0.0,,,,,,2.0,,0.0,
2.0,,,,,2.0,,0.0,2.0,2.0,2.0,,,2.0,,,,,2.0,,,2.0,
,,0.0,0.0,0.0,,0.0,,,,,2.0,0.0,,0.0,0.0,,0.0,,,,,
0.0,,,,,0.0,,2.0,0.0,0.0,0.0,,,0.0,,,,,0.0,2.0,,,
,,,,,,,,,,,,,,,,,,,,,,
