Fluvoxamine,Meticorten,floravit iron,Naproxen,Ambien CR,Miralax low dose at night,Soluble Aspirin,pur-absorb iron,Calcort,Eyebright Complex,Prednisone,Buspirone,Plaquenil,DLPA,Wei Te Ling - heartburn,Vitamin b complex,Ketotifeno,Mt. Si ACDC 2x Coco Caps,Probiotic,Stretching,Physiotherapy,Phenergan,Magnesium,Panamax,Allegra,Benadryl,Flexeril,Fish oil,Miralax low dose PM,Standing desk,cocodamol,Tretinoin,Omeprazole,gluten free diet,Bicarb on scalp,Marijuana,Acetaminophen,Tyrosine,Charcoal,Coffee,Thyroxine,Pataday,anti-nausea pills,Zofran,Clinda-derm,Hydroxyzine,Synthroid,Low-FODMAP diet,Complex b,Tetralabs Gold Caps CBN,Inderal,Vitamin B,Vitamin B complex - 50,Probiotics,Ropinirole,Andrographis compound,Tavegyl,Gabapentin,Pain management,Nortriptyline,Cymbalta,Ginger,Cranberry extract,Vitamin a,Vitamin d,Mezavant,linseed,Diazepam,Yoga,Iron,Contraceptive pill,More stretching,Vyvanse,5 or more portions of fruit and veg,Valdoxan,Lying flat,Magnesium gel,Exercise,Creatine,Clonazepam,Topiramate,Drinking eight glasses or more of water,Valium,Oxynorm,Chiropractic,gym,Zoladex,Bagomicina,Midodrine,Multivitamin,Mirtazapine,Love,Wear shoulder brace,Ultrasound,Ibuprofen,Meditation,Dicyclomine,Migraine Diet,Inolaxol,mountain biking,Lithium,Iberogast,Nasonex,Fexofenadine,Ecural,gluten free,Zolmitriptan,Valerian,dairy free,Tetralabs Gold Caps,Magnesium amino acid chelate,Topical ibuprofen,Protecting back,Wore arch supports all day,Ranitidine,Ventolin,Tian Ma Tou Tong - headache,Codeine,Progesterone,Spironolactone,Voltaren,Temazepam,heating pads,Norco,Ondansetron,Mebeverine,Wellbutrin,Freezie wrap,Singulair,drawing,Montelukast,Methylphenidate,Multi-vitamin
,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,0.0,,,,0.0,,,,0.0,,,2.0,,2.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,
,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,
,,,,,,0.0,0.0,,0.0,,2.0,,0.0,0.0,,,,0.0,,0.0,,0.0,0.0,,,,0.0,,2.0,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,0.0,,,,,,0.0,2.0,,,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,,2.0,,2.0,2.0,,,0.0,,,,2.0,,,0.0,0.0,,,,0.0,,,0.0,,,2.0,,0.0,,2.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2.0,,0.0,,,,,,,,,,,,,,,,,,,
,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,,,,,,0.0,0.0,,,,0.0,,2.0,,,
,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,,,,,,0.0,0.0,,,,0.0,,2.0,,,
,,0.0,,,,,0.0,,0.0,,2.0,,0.0,0.0,,,,0.0,,0.0,,0.0,0.0,,,,0.0,,2.0,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,0.0,,,,,,0.0,2.0,,,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,,2.0,,2.0,2.0,,,0.0,,,,2.0,,,0.0,0.0,,,,0.0,,,0.0,,,2.0,,0.0,,2.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,
,,0.0,,,,0.0,,,0.0,,2.0,,0.0,0.0,,,,0.0,,0.0,,0.0,0.0,,,,0.0,,2.0,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,0.0,,,,,,0.0,2.0,,,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,,2.0,,2.0,2.0,,,0.0,,,,2.0,,,0.0,0.0,,,,0.0,,,0.0,,,2.0,,0.0,,2.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,
,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,
,,0.0,,,,0.0,0.0,,,,2.0,,0.0,0.0,,,,0.0,,0.0,,0.0,0.0,,,,0.0,,2.0,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,0.0,,,,,,0.0,2.0,,,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,,2.0,,2.0,2.0,,,0.0,,,,2.0,,,0.0,0.0,,,,0.0,,,0.0,,,2.0,,0.0,,2.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2.0,,,,2.0,2.0,,2.0,,,,2.0,2.0,,,,2.0,,2.0,,2.0,2.0,,,,2.0,,0.0,,,,,,,,,,,,2.0,,2.0,,,2.0,,,,,2.0,2.0,,,,,,2.0,0.0,,,,2.0,2.0,2.0,2.0,,,2.0,,,2.0,,2.0,,0.0,,0.0,0.0,,,2.0,,,,0.0,,,2.0,2.0,,,,2.0,,,2.0,,,0.0,,2.0,,0.0,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,2.0,,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,0.0,,,,0.0,,,,0.0,,,2.0,,2.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,
,,0.0,,,,0.0,0.0,,0.0,,2.0,,,0.0,,,,0.0,,0.0,,0.0,0.0,,,,0.0,,2.0,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,0.0,,,,,,0.0,2.0,,,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,,2.0,,2.0,2.0,,,0.0,,,,2.0,,,0.0,0.0,,,,0.0,,,0.0,,,2.0,,0.0,,2.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,
,,0.0,,,,0.0,0.0,,0.0,,2.0,,0.0,,,,,0.0,,0.0,,0.0,0.0,,,,0.0,,2.0,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,0.0,,,,,,0.0,2.0,,,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,,2.0,,2.0,2.0,,,0.0,,,,2.0,,,0.0,0.0,,,,0.0,,,0.0,,,2.0,,0.0,,2.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,
,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
