very upset stomach,new heart rate monitor in step counter,"same meds i just can't be bothered listing them, ",physical exhaustion,active day,sex,feeling blank,At Mom and Dad's,physical exertion,ate breakfast,couldn't sleep because i had to catch the bunny,alcohol,migraine,fuck yeah avocado,overspending,feeling self destructive,missed dinner,Costco,late to work,felt slightly distant but not too bad,brain fog,plans canceled,Quiet,Anxious,period pains,got fired,worked,Sisu B Calm,napped a little bit on transport,last day of thesis,kids,called job centre,good sleep,excitement,bleeding from rear,Sore jaw,great pain all over,stressed,lots of gas,strong energy then CRASH
,0.0,2.0,,,0.0,0.0,0.0,,,0.0,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,2.0,,2.0,0.0,0.0,,0.0,,0.0,0.0,,2.0,,0.0,0.0
0.0,,2.0,,,0.0,0.0,0.0,,,0.0,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,2.0,,2.0,0.0,0.0,,0.0,,0.0,0.0,,2.0,,0.0,0.0
2.0,2.0,,,,2.0,2.0,2.0,,,2.0,,,0.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,0.0,2.0,0.0,,0.0,2.0,2.0,,2.0,,2.0,2.0,,0.0,,2.0,2.0
,,,,0.0,,,,0.0,2.0,,2.0,0.0,,,,,,,,0.0,,,,,,0.0,,,,0.0,,0.0,,,0.0,,2.0,,
,,,0.0,,,,,0.0,2.0,,2.0,0.0,,,,,,,,0.0,,,,,,0.0,,,,0.0,,0.0,,,0.0,,2.0,,
0.0,0.0,2.0,,,,0.0,0.0,,,0.0,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,2.0,,2.0,0.0,0.0,,0.0,,0.0,0.0,,2.0,,0.0,0.0
0.0,0.0,2.0,,,0.0,,0.0,,,0.0,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,2.0,,2.0,0.0,0.0,,0.0,,0.0,0.0,,2.0,,0.0,0.0
0.0,0.0,2.0,,,0.0,0.0,,,,0.0,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,2.0,,2.0,0.0,0.0,,0.0,,0.0,0.0,,2.0,,0.0,0.0
,,,0.0,0.0,,,,,2.0,,2.0,0.0,,,,,,,,0.0,,,,,,0.0,,,,0.0,,0.0,,,0.0,,2.0,,
,,,2.0,2.0,,,,2.0,,,0.0,2.0,,,,,,,,2.0,,,,,,2.0,,,,2.0,,2.0,,,2.0,,0.0,,
0.0,0.0,2.0,,,0.0,0.0,0.0,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,2.0,,2.0,0.0,0.0,,0.0,,0.0,0.0,,2.0,,0.0,0.0
,,,2.0,2.0,,,,2.0,0.0,,,2.0,,,,,,,,2.0,,,,,,2.0,,,,2.0,,2.0,,,2.0,,0.0,,
,,,0.0,0.0,,,,0.0,2.0,,2.0,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,0.0,,,0.0,,2.0,,
2.0,2.0,0.0,,,2.0,2.0,2.0,,,2.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,0.0,2.0,0.0,,0.0,2.0,2.0,,2.0,,2.0,2.0,,0.0,,2.0,2.0
0.0,0.0,2.0,,,0.0,0.0,0.0,,,0.0,,,2.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,2.0,,2.0,0.0,0.0,,0.0,,0.0,0.0,,2.0,,0.0,0.0
0.0,0.0,2.0,,,0.0,0.0,0.0,,,0.0,,,2.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,2.0,,2.0,0.0,0.0,,0.0,,0.0,0.0,,2.0,,0.0,0.0
0.0,0.0,2.0,,,0.0,0.0,0.0,,,0.0,,,2.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,2.0,,2.0,0.0,0.0,,0.0,,0.0,0.0,,2.0,,0.0,0.0
0.0,0.0,2.0,,,0.0,0.0,0.0,,,0.0,,,2.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,2.0,,2.0,0.0,0.0,,0.0,,0.0,0.0,,2.0,,0.0,0.0
0.0,0.0,2.0,,,0.0,0.0,0.0,,,0.0,,,2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,0.0,2.0,,2.0,0.0,0.0,,0.0,,0.0,0.0,,2.0,,0.0,0.0
0.0,0.0,2.0,,,0.0,0.0,0.0,,,0.0,,,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2.0,0.0,2.0,,2.0,0.0,0.0,,0.0,,0.0,0.0,,2.0,,0.0,0.0
,,,0.0,0.0,,,,0.0,2.0,,2.0,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,,0.0,,2.0,,
0.0,0.0,2.0,,,0.0,0.0,0.0,,,0.0,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2.0,0.0,2.0,,2.0,0.0,0.0,,0.0,,0.0,0.0,,2.0,,0.0,0.0
0.0,0.0,2.0,,,0.0,0.0,0.0,,,0.0,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2.0,0.0,2.0,,2.0,0.0,0.0,,0.0,,0.0,0.0,,2.0,,0.0,0.0
2.0,2.0,0.0,,,2.0,2.0,2.0,,,2.0,,,0.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,,2.0,0.0,,0.0,2.0,2.0,,2.0,,2.0,2.0,,0.0,,2.0,2.0
0.0,0.0,2.0,,,0.0,0.0,0.0,,,0.0,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,,2.0,,2.0,0.0,0.0,,0.0,,0.0,0.0,,2.0,,0.0,0.0
2.0,2.0,0.0,,,2.0,2.0,2.0,,,2.0,,,0.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,0.0,2.0,,,0.0,2.0,2.0,,2.0,,2.0,2.0,,0.0,,2.0,2.0
,,,0.0,0.0,,,,0.0,2.0,,2.0,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,0.0,,,0.0,,2.0,,
2.0,2.0,0.0,,,2.0,2.0,2.0,,,2.0,,,0.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,0.0,2.0,0.0,,,2.0,2.0,,2.0,,2.0,2.0,,0.0,,2.0,2.0
0.0,0.0,2.0,,,0.0,0.0,0.0,,,0.0,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,2.0,,2.0,,0.0,,0.0,,0.0,0.0,,2.0,,0.0,0.0
0.0,0.0,2.0,,,0.0,0.0,0.0,,,0.0,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,2.0,,2.0,0.0,,,0.0,,0.0,0.0,,2.0,,0.0,0.0
,,,0.0,0.0,,,,0.0,2.0,,2.0,0.0,,,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,0.0,,2.0,,
0.0,0.0,2.0,,,0.0,0.0,0.0,,,0.0,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,2.0,,2.0,0.0,0.0,,,,0.0,0.0,,2.0,,0.0,0.0
,,,0.0,0.0,,,,0.0,2.0,,2.0,0.0,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,0.0,,2.0,,
0.0,0.0,2.0,,,0.0,0.0,0.0,,,0.0,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,2.0,,2.0,0.0,0.0,,0.0,,,0.0,,2.0,,0.0,0.0
0.0,0.0,2.0,,,0.0,0.0,0.0,,,0.0,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,2.0,,2.0,0.0,0.0,,0.0,,0.0,,,2.0,,0.0,0.0
,,,0.0,0.0,,,,0.0,2.0,,2.0,0.0,,,,,,,,0.0,,,,,,0.0,,,,0.0,,0.0,,,,,2.0,,
2.0,2.0,0.0,,,2.0,2.0,2.0,,,2.0,,,0.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,0.0,2.0,0.0,,0.0,2.0,2.0,,2.0,,2.0,2.0,,,,2.0,2.0
,,,2.0,2.0,,,,2.0,0.0,,0.0,2.0,,,,,,,,2.0,,,,,,2.0,,,,2.0,,2.0,,,2.0,,,,
0.0,0.0,2.0,,,0.0,0.0,0.0,,,0.0,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,2.0,,2.0,0.0,0.0,,0.0,,0.0,0.0,,2.0,,,0.0
0.0,0.0,2.0,,,0.0,0.0,0.0,,,0.0,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,2.0,,2.0,0.0,0.0,,0.0,,0.0,0.0,,2.0,,0.0,
