Medications,Yoga,hiking,physical therapy,honey,ate breakfast,snuggly cat,sugar yesterday,yoga,grocery shopping,excerise,met a new cat,Coenzyme q-10,housework,dairy,Exercise,Dermatologist,worked in garden,beans,rice,exercise,L-theanine,Stayed in bed all day,Chiropractic,Superlong nap,l-theanine,neuro,psychiatrists,Walking,Medication,Slept most of the day,did 7 mins of exercise   woohoo,Sleep,Vitamin d,counselor,Onions,drank a lot,row
,0.0,,0.0,,2.0,,,2.0,2.0,,,0.0,2.0,,0.0,0.0,2.0,,,2.0,,2.0,0.0,,,0.0,0.0,0.0,2.0,2.0,2.0,,0.0,0.0,,,Medications
0.0,,,0.0,,2.0,,,2.0,2.0,,,0.0,2.0,,0.0,0.0,2.0,,,2.0,,2.0,0.0,,,0.0,0.0,0.0,2.0,2.0,2.0,,0.0,0.0,,,Yoga
,,,,2.0,2.0,0.0,2.0,,,2.0,0.0,,,2.0,,,,2.0,2.0,,0.0,,,0.0,0.0,,,,,,,2.0,,,0.0,2.0,hiking
0.0,0.0,,,,2.0,,,2.0,2.0,,,0.0,2.0,,0.0,0.0,2.0,,,2.0,,2.0,0.0,,,0.0,0.0,0.0,2.0,2.0,2.0,,0.0,0.0,,,physical therapy
,,2.0,,,0.0,2.0,0.0,,,0.0,2.0,,,0.0,,,,0.0,0.0,,2.0,,,2.0,2.0,,,,,,,0.0,,,2.0,0.0,honey
2.0,2.0,2.0,2.0,0.0,,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,ate breakfast
,,0.0,,2.0,2.0,,2.0,,,2.0,0.0,,,2.0,,,,2.0,2.0,,0.0,,,0.0,0.0,,,,,,,2.0,,,0.0,2.0,snuggly cat
,,2.0,,0.0,0.0,2.0,,,,0.0,2.0,,,0.0,,,,0.0,0.0,,2.0,,,2.0,2.0,,,,,,,0.0,,,2.0,0.0,sugar yesterday
2.0,2.0,,2.0,,0.0,,,,0.0,,,2.0,0.0,,2.0,2.0,0.0,,,0.0,,0.0,2.0,,,2.0,2.0,2.0,0.0,0.0,0.0,,2.0,2.0,,,yoga
2.0,2.0,,2.0,,0.0,,,0.0,,,,2.0,0.0,,2.0,2.0,0.0,,,0.0,,0.0,2.0,,,2.0,2.0,2.0,0.0,0.0,0.0,,2.0,2.0,,,grocery shopping
