hiking,golden beet,Caffeine,Osteopathy,Toprol,Amitriptyline,chicken,played video games,fuck yeah avocado,snuggly cat,busy,Prednisone,climbed stairs,lettuce mix,avocado,cashews,ponstan,Netflix day,acorn squash,ate gluten,psychologist,Magnesium,Slept extra,shopped,Flexeril,limes,took naps,masturbated,Home physio exercises,picnic,olive tapenade,snuggles,Prilosec,sex,Lots of kitty love,Beer,grocery shopping,Citalopram,3 brazil-nuts,cooking,Synthroid,exercise,very active aqua class,raspberries,Puppies,exercised,slept in,Vitamin B,Zomig,fun shopping,Vitamin d,Methotrexate,swimming,dried fruit & pumpkin seeds,family,physical therapy,met a new cat,adapten-all,lettuce,had sex,Pokemon go,ironing,Metformin,trying to clean the house,lots of walking,cashew ice cream,Went out on date,went swimming,Physio,Topiramate,worked in garden,slept late,bbq,Paracatamol with codeine,mint chocolates,Tranexamic acid,bunny cuddles,Gardening,not great sleep,Lots of travel,sweet potato,soft drink,Imodium,chocolate chips,studied,Bunny snuggles,Lots of cleaning,Pantoprazole,aqua therapy,drank alcohol,Iodine,party,travel,Lazy day,Bunny cuddles,12 hrs sleep,Ranitidine,coconut flakes,Progesterone,popcorn,Migraine herb feverfew tablets,stress,long shopping  trip,Went out on adventures,walked,Late sleep,long walk,Multi-vitamin,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hiking
,,2.0,,,,0.0,,0.0,,,,,0.0,0.0,0.0,,,0.0,,,,,,,0.0,,,,,0.0,,,,,,,,0.0,,,,,0.0,,,,,,,2.0,,,0.0,,,,2.0,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,,2.0,,,,,0.0,,0.0,,,,,,,,,,,golden beet
,2.0,,,,,2.0,,2.0,,,,,2.0,2.0,2.0,,,2.0,,,,,,,2.0,,,,,2.0,,,,,,,,2.0,,,,,2.0,,,,,,,0.0,,,2.0,,,,0.0,2.0,,,,,,,2.0,,,,,,,,,2.0,,,,,,2.0,,,2.0,,,,,,,0.0,,,,,2.0,,2.0,,,,,,,,,,,Caffeine
,,,,,,,0.0,,0.0,,,2.0,,,,0.0,,,,0.0,0.0,,,,,,2.0,0.0,0.0,,2.0,2.0,0.0,0.0,0.0,,2.0,,0.0,,2.0,0.0,,0.0,2.0,2.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,2.0,,2.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Osteopathy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toprol
,,,,,,,0.0,,,,,,,,,,,,2.0,,,,0.0,0.0,,2.0,,,,,,,,,,0.0,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,Amitriptyline
,0.0,2.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,0.0,,,,,,,0.0,,,,,0.0,,,,,,,,0.0,,,,,0.0,,,,,,,2.0,,,0.0,,,,2.0,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,,2.0,,,,,0.0,,0.0,,,,,,,,,,,chicken
,,,0.0,,0.0,,,,0.0,,,2.0,,,,0.0,,,2.0,0.0,0.0,,0.0,0.0,,2.0,2.0,0.0,0.0,,2.0,2.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,2.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,0.0,0.0,2.0,0.187500254693,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,1.92980627772,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,2.0,,2.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,played video games
,0.0,2.0,,,,0.0,,,,,,,0.0,0.0,0.0,,,0.0,,,,,,,0.0,,,,,0.0,,,,,,,,0.0,,,,,0.0,,,,,,,2.0,,,0.0,,,,2.0,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,,2.0,,,,,0.0,,0.0,,,,,,,,,,,fuck yeah avocado
,,,0.0,,,,0.0,,,,,2.0,,,,0.0,,,,0.0,0.0,,,,,,2.0,0.0,0.0,,2.0,2.0,0.0,0.0,0.0,,2.0,,0.0,,2.0,0.0,,0.0,2.0,2.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,2.0,,2.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,snuggly cat
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,busy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prednisone
,,,2.0,,,,2.0,,2.0,,,,,,,2.0,,,,2.0,2.0,,,,,,0.0,2.0,2.0,,0.0,0.0,2.0,2.0,2.0,,0.0,,2.0,,0.0,2.0,,2.0,0.0,0.0,2.0,2.0,,,,2.0,,2.0,2.0,2.0,,,2.0,2.0,0.0,2.0,2.0,2.0,,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,,2.0,0.0,2.0,0.0,,0.0,,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,climbed stairs
