Wear shoulder brace,coconut,napped well,Lying flat,Superlong nap,More stretching,bed day,met a new cat,haircut,3 drinks,short nap,Echinacea,honey,Protecting back,Poor sleep (hotel),Ambien CR,Miralax low dose at night,drank alcohol,ate breakfast,Vitamins,snuggly cat,sugar yesterday,busy,Cetirizine hydrochloride,hiking,B12 timed release,Sisu B Calm,Zofran,Hydroxyzine,vacation,gluten free,nap,had sex,dairy,Biotin,dairy free,party,rice,Heathen ritual,exercise,L-theanine,cuddled kitten,Oxynorm,Slept well,Woke Up With Alarm,Buffered Salmon Oil - DHA - EPA,heavy physcial exertion,Calcium citrate,mass transit,Support worker assistance,listen to music ,heating pads,beans,Norco,Daytime nap,Folic acid,Late lunch,WomenSense AdrenaSense Adrenal Formula,housework,drank a lot,Cetirizine,Freezie wrap,no breakfast,studied,butternut squash risotto,walked,Better sleep,very little sleep,excerise,new environment,bed late,Sleep,l-theanine,Vitamin d,AOR Zinc-Copper Balance,cocodamol,Onions,drawing,travel,row
,0.0,2.0,2.0,,0.0,2.0,,0.0,0.0,0.0,,,2.0,2.0,0.0,2.0,2.0,2.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,2.0,,2.0,,0.0,2.0,,,2.0,,0.0,0.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,2.0,,,,,0.0,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,0.0,,,,,0.0,,2.0,,Wear shoulder brace
0.0,,2.0,2.0,,0.0,2.0,,0.0,0.0,0.0,,,2.0,2.0,0.0,2.0,2.0,2.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,2.0,,2.0,,0.0,2.0,,,2.0,,0.0,0.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,2.0,,,,,0.0,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,0.0,,,,,0.0,,2.0,,coconut
2.0,2.0,,0.0,,2.0,0.0,,2.0,2.0,2.0,,,0.0,0.0,2.0,0.0,0.0,0.0,,,,2.0,,,,,2.0,2.0,2.0,2.0,0.0,,0.0,,2.0,0.0,,,0.0,,2.0,2.0,0.0,2.0,,2.0,,2.0,,2.0,2.0,,2.0,,,0.0,,,,,2.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,2.0,,,,,2.0,,0.0,,napped well
2.0,2.0,0.0,,,2.0,0.0,,2.0,2.0,2.0,,,0.0,0.0,2.0,0.0,0.0,0.0,,,,2.0,,,,,2.0,2.0,2.0,2.0,0.0,,0.0,,2.0,0.0,,,0.0,,2.0,2.0,0.0,2.0,,2.0,,2.0,,2.0,2.0,,2.0,,,0.0,,,,,2.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,2.0,,,,,2.0,,0.0,,Lying flat
,,,,,,,0.0,,,,,0.0,,,,,,2.0,,2.0,0.0,,,2.0,,,,,,,,,2.0,,,,0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,,2.0,,,,,,,,,0.0,,,2.0,0.0,,,,0.0,,,Superlong nap
0.0,0.0,2.0,2.0,,,2.0,,0.0,0.0,0.0,,,2.0,2.0,0.0,2.0,2.0,2.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,2.0,,2.0,,0.0,2.0,,,2.0,,0.0,0.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,2.0,,,,,0.0,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,0.0,,,,,0.0,,2.0,,More stretching
2.0,2.0,0.0,0.0,,2.0,,,2.0,2.0,2.0,,,0.0,0.0,2.0,0.0,0.0,0.0,,,,2.0,,,,,2.0,2.0,2.0,2.0,0.0,,0.0,,2.0,0.0,,,0.0,,2.0,2.0,0.0,2.0,,2.0,,2.0,,2.0,2.0,,2.0,,,0.0,,,,,2.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,2.0,,,,,2.0,,0.0,,bed day
,,,,0.0,,,,,,,,0.0,,,,,,2.0,,2.0,0.0,,,2.0,,,,,,,,,2.0,,,,0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,,2.0,,,,,,,,,0.0,,,2.0,0.0,,,,0.0,,,met a new cat
0.0,0.0,2.0,2.0,,0.0,2.0,,,0.0,0.0,,,2.0,2.0,0.0,2.0,2.0,2.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,2.0,,2.0,,0.0,2.0,,,2.0,,0.0,0.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,2.0,,,,,0.0,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,0.0,,,,,0.0,,2.0,,haircut
0.0,0.0,2.0,2.0,,0.0,2.0,,0.0,,0.0,,,2.0,2.0,0.0,2.0,2.0,2.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,2.0,,2.0,,0.0,2.0,,,2.0,,0.0,0.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,2.0,,,,,0.0,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,0.0,,,,,0.0,,2.0,,3 drinks
