Snacks,Dicyclomine,Home physio exercises,Phyical Therapy - stretches,Prilosec,Caffeine,Sunlight,Synthroid,Aromatherapy,Tretinoin,Imodium,aqua therapy,Acupuncture,birth control,Magnesium glycinate,Metformin,Veggies,5-htp,Nasonex,Claritin,tumeric extract,Strattera,Relaxing,Low oxalate,Citalopram,Clinda-derm,Allergy Shots,Snooze,gluten free,excedrin migraine,Physio,Topiramate,Achy breaky rub,Pantoprazole,ponstan,Famotidine,DEHA,Vitamin b complex,Trigger Points,Paracatamol with codeine,Enada,Methylcobalamine,Ranitidine,Zomig,therapy session,Tylenol 3,Astelin,Progesterone,Vitamin C,Vitamin B,Migraine herb feverfew tablets,Magnesium,Tranexamic acid,Tavegyl,THC,Prednisone,Allegra,Klonopin,Medication,Fexofenadine,Goth clubbing,Singulair,Fish oil,Osteopathy,psychologist,rebounding,CoQ10,Montelukast,Vitamin b12,Cannabis,Post-op ice device,Zinc,Vitamin d,Methotrexate,Melatonin,Corticosteroids,LUSH acne spot-treatment,massage,Multi-vitamin
,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,0.0,,,0.0,,,,0.0,,,0.0,0.0,,,,,,,0.0,,,0.0,,,,2.0,,0.0,,,0.0,,,,,,0.0,0.0,,,,0.0,,,,0.0,,,,,,,,0.0,,,
,,,,0.0,,,,,,0.0,0.0,,,,0.0,,,,,,,,,0.0,,,,,,0.0,0.0,,0.0,0.0,,,,,0.0,,,0.0,0.0,,,,0.0,,0.0,2.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
,0.0,,,,,,,,0.0,,,,,,0.0,,,,,,,0.0,,,0.0,,,,0.0,,,0.0,0.0,,,,,,,0.0,,,0.0,,,,2.0,,0.0,,,0.0,,,,,,0.0,0.0,,,,0.0,,,,0.0,,,,,,,,0.0,,,
,,0.0,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,0.0,,,,,,0.0,0.0,,0.0,0.0,,,,,0.0,,,0.0,0.0,,,,0.0,,0.0,2.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
,,,,,,,,,,,,,,2.0,,,2.0,2.0,2.0,,2.0,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,2.0,,2.0,,,,,,2.0,,2.0,2.0,,,,2.0,2.0,,,,,,2.0,,2.0,2.0,2.0,,2.0,,,,
,,,,,,,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,,0.0,,,0.0,0.0,,0.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,,0.0,,,,,,,,,,,,0.0,,,,,,,0.0,,,0.0,,,,0.0,,,0.0,0.0,,,,,,,0.0,,,0.0,,,,2.0,,0.0,,,0.0,,,,,,0.0,0.0,,,,0.0,,,,0.0,,,,,,,,0.0,,,
,,0.0,,0.0,,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,,0.0,0.0,,0.0,0.0,,,,,0.0,,,0.0,0.0,,,,0.0,,0.0,2.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
,,0.0,,0.0,,,,,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,,0.0,0.0,,0.0,0.0,,,,,0.0,,,0.0,0.0,,,,0.0,,0.0,2.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
,,,,,,,0.0,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,,0.0,,,0.0,0.0,,0.0,,,,
,,,,,,,0.0,,,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,,0.0,,,0.0,0.0,,0.0,,,,
